num,latitude,longitude,year,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
92,37.0828736139901,126.19344894359483,2010,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False
115,37.927359411568645,127.41248260299648,2010,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False
115,37.927359411568645,127.41248260299648,2010,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
78,37.94492614797427,127.00715292999298,2010,Rapidash,Fire,,500,65,100,70,80,80,105,1,False
110,37.80879670808503,127.29566623015396,2010,Weezing,Poison,,490,65,90,120,85,70,60,1,False
139,38.0375352665241,127.2353855777329,2010,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False
140,37.228126102548096,127.18200103399259,2010,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False
6,37.520516480942,126.4097600740904,2010,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
6,37.520516480942,126.4097600740904,2010,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
6,37.520516480942,126.4097600740904,2010,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
68,37.78838537956783,126.30342203605684,2010,Machamp,Fighting,,505,90,130,80,65,85,55,1,False
64,37.405297084884616,126.88574541891583,2010,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False
76,38.32685815963274,127.19670482993271,2010,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
134,37.63639498724315,127.10047627700229,2010,Vaporeon,Water,,525,130,65,60,110,95,65,1,False
22,37.19246877225196,127.682807419268,2010,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False
1,37.75589357005358,127.1661013152285,2010,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
85,37.256315800639605,126.88538535115411,2010,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
48,37.54137394771904,126.15422189830387,2010,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False
85,37.73732184141598,126.4290420733371,2010,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
141,37.67484982042335,127.26759785061061,2010,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
71,37.366208304461594,126.65352614108711,2010,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False
83,36.876385213849325,127.00810026990827,2010,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False
104,38.35977458994537,127.27717718669486,2010,Cubone,Ground,,320,50,50,95,40,50,35,1,False
105,37.56312794287431,126.87660644016272,2010,Marowak,Ground,,425,60,80,110,50,80,45,1,False
145,38.074046611341224,126.50082811546534,2010,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
100,38.502361308009476,127.42421748149944,2010,Voltorb,Electric,,330,40,30,50,55,55,100,1,False
44,37.156514403328565,127.56209116473043,2010,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False
2,37.89444333028621,127.24695426030807,2010,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
95,37.396776129503536,126.95456456727509,2010,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False
2,37.75304736169583,127.50351407636205,2010,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
89,37.714429077226896,127.41668261125817,2010,Muk,Poison,,500,105,105,75,65,100,50,1,False
129,37.37362112865684,126.40026882964898,2010,Magikarp,Water,,200,20,10,55,15,20,80,1,False
55,37.40511494881335,126.89781916756883,2010,Golduck,Water,,500,80,82,78,95,80,85,1,False
69,37.470955824716036,127.55082770136521,2010,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False
37,38.60941590911388,126.57545379502554,2010,Vulpix,Fire,,299,38,41,40,50,65,65,1,False
108,37.33742353708727,127.42481961826962,2010,Lickitung,Normal,,385,90,55,75,60,75,30,1,False
34,37.955633102205326,127.05198562443962,2010,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False
86,36.90984110934651,127.35865866143816,2010,Seel,Water,,325,65,45,55,45,70,45,1,False
32,37.98442985461991,126.31982942324139,2010,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False
5,37.38334598567619,126.55142305250122,2010,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
105,37.74757519983738,126.78840987838542,2010,Marowak,Ground,,425,60,80,110,50,80,45,1,False
110,38.02549929938298,127.87976470343388,2010,Weezing,Poison,,490,65,90,120,85,70,60,1,False
49,38.35044952835018,126.83169950558788,2010,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
100,36.84954300339272,126.36396317688403,2010,Voltorb,Electric,,330,40,30,50,55,55,100,1,False
87,37.18219130680378,127.3215451870281,2010,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
125,37.723535916977404,126.44663201699106,2010,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False
17,37.74060934432262,127.08933846478175,2010,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False
80,37.81535501308377,127.00300825804764,2010,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
80,37.81535501308377,127.00300825804764,2010,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False
61,36.52363073123361,126.8854298416571,2010,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False
15,36.77913477990184,127.43779807685085,2010,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
15,36.77913477990184,127.43779807685085,2010,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
64,37.56328392953776,126.77007432815485,2010,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False
65,38.47605731454119,127.57556070728057,2010,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
65,38.47605731454119,127.57556070728057,2010,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
63,37.720225514105266,126.78702516534392,2010,Abra,Psychic,,310,25,20,15,105,55,90,1,False
15,37.692880364612314,126.57277797607692,2010,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
15,37.692880364612314,126.57277797607692,2010,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
112,38.39769084302367,126.99952837978901,2010,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
64,36.60766979778793,126.95226259922882,2010,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False
65,38.02241026734948,126.85484056729565,2010,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
65,38.02241026734948,126.85484056729565,2010,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
109,38.4070045690438,127.20466438090725,2010,Koffing,Poison,,340,40,65,95,60,45,35,1,False
91,37.64296251090563,126.03884108440627,2010,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
119,37.285613326484345,127.59693306601693,2010,Seaking,Water,,450,80,92,65,65,80,68,1,False
135,37.426319183037954,127.1135971569067,2010,Jolteon,Electric,,525,65,65,60,110,95,130,1,False
76,37.75790987043335,127.08423570344765,2010,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
24,37.24714184553591,127.89878242909339,2010,Arbok,Poison,,438,60,85,69,65,79,80,1,False
21,37.36806576149721,126.92634544080057,2010,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False
63,38.34326075094661,127.9588720043388,2010,Abra,Psychic,,310,25,20,15,105,55,90,1,False
27,37.621243811904776,127.24743251876944,2010,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False
27,37.59420820906707,126.99141882020925,2010,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False
36,37.646534448032575,126.22383699495231,2010,Clefable,Fairy,,483,95,70,73,95,90,60,1,False
81,37.46809987573175,127.8999881251743,2010,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
39,38.04009576067811,126.87215160196854,2010,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
56,36.781750503670125,126.21933798307617,2010,Mankey,Fighting,,305,40,80,35,35,45,70,1,False
20,37.41193981492437,127.45477782033137,2010,Raticate,Normal,,413,55,81,60,50,70,97,1,False
115,36.9200532278657,126.40054424219062,2010,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False
115,36.9200532278657,126.40054424219062,2010,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
101,37.16687901725884,127.38787771915864,2010,Electrode,Electric,,480,60,50,70,80,80,140,1,False
75,37.43854753719168,126.45421111066868,2010,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False
19,36.62793260628872,126.9068276127463,2010,Rattata,Normal,,253,30,56,35,25,35,72,1,False
34,37.423568483595616,127.23368418472035,2010,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False
29,37.32212008409558,127.7740965010766,2010,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False
120,37.066431986629404,127.01828955408666,2010,Staryu,Water,,340,30,45,55,70,55,85,1,False
91,37.99729964421414,127.22916010702637,2010,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
90,38.44617866606694,126.68549916202566,2010,Shellder,Water,,305,30,65,100,45,25,40,1,False
140,37.20503653284257,127.20795751803772,2010,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False
6,37.993933884384425,126.58775297350117,2010,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
6,37.993933884384425,126.58775297350117,2010,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
6,37.993933884384425,126.58775297350117,2010,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
51,36.99245259400007,127.58375207068133,2010,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False
88,36.808500256940384,127.857785809332,2010,Grimer,Poison,,325,80,80,50,40,50,25,1,False
111,37.71127713213313,127.06286209298352,2010,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
65,38.0416891727812,126.80556458455192,2010,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
65,38.0416891727812,126.80556458455192,2010,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
107,36.689238922132844,128.30815999919398,2010,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False
25,38.427862778884986,127.19127848161241,2010,Pikachu,Electric,,320,35,55,40,50,50,90,1,False
23,37.22177820905071,126.84191655164227,2010,Ekans,Poison,,288,35,60,44,40,54,55,1,False
14,37.89075771692072,127.11604457235278,2010,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False
23,36.643187254112476,127.14704087430194,2010,Ekans,Poison,,288,35,60,44,40,54,55,1,False
131,37.29344984379481,126.67516074375679,2010,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
65,37.75551735107555,127.33983510855343,2010,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
65,37.75551735107555,127.33983510855343,2010,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
147,37.95279637619717,127.60850542117909,2010,Dratini,Dragon,,300,41,64,45,50,50,50,1,False
92,37.77708979619537,126.59050314457653,2010,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False
112,36.929008784880814,127.13501828927475,2010,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
133,37.24887383045654,126.86958089935597,2010,Eevee,Normal,,325,55,55,50,45,65,55,1,False
3,37.29460725089588,126.91785513163629,2010,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
3,37.29460725089588,126.91785513163629,2010,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False
110,37.671060784063755,127.71546898121512,2010,Weezing,Poison,,490,65,90,120,85,70,60,1,False
72,37.25076994708762,127.42928961442823,2010,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
40,37.26859072204621,127.4916349068488,2010,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False
68,38.06109205450799,126.37448249281496,2010,Machamp,Fighting,,505,90,130,80,65,85,55,1,False
118,37.77806705739449,126.76275952201661,2010,Goldeen,Water,,320,45,67,60,35,50,63,1,False
151,36.906698582833236,126.74766424537624,2010,Mew,Psychic,,600,100,100,100,100,100,100,1,False
141,36.973200048090206,126.78657773816997,2010,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
2,38.29730853451347,127.79328333911464,2010,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
61,36.58717660172232,127.14437380633463,2010,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False
55,37.813970347738746,125.96923729620032,2010,Golduck,Water,,500,80,82,78,95,80,85,1,False
114,37.51099655195231,127.54509680782442,2010,Tangela,Grass,,435,65,55,115,100,40,60,1,False
90,37.965833728901714,126.86732550619394,2010,Shellder,Water,,305,30,65,100,45,25,40,1,False
90,37.33054144399952,126.79672927258613,2010,Shellder,Water,,305,30,65,100,45,25,40,1,False
99,38.0176259170436,127.31218818959945,2010,Kingler,Water,,475,55,130,115,50,50,75,1,False
108,38.12625253055029,127.2725238278655,2010,Lickitung,Normal,,385,90,55,75,60,75,30,1,False
54,38.659203716009955,126.9481723149333,2010,Psyduck,Water,,320,50,52,48,65,50,55,1,False
141,38.184863082474045,127.35524492899883,2010,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
11,37.6726959948658,127.09841092063984,2010,Metapod,Bug,,205,50,20,55,25,25,30,1,False
3,37.82535295047463,126.82107684718773,2010,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
3,37.82535295047463,126.82107684718773,2010,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False
97,36.974629591097184,125.77558361537484,2010,Hypno,Psychic,,483,85,73,70,73,115,67,1,False
49,37.80564020912785,126.93160059514061,2010,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
43,37.97376557336859,126.87460863073912,2010,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
43,38.5478102512925,127.30116108313167,2010,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
135,38.278698734727996,127.1189992731307,2010,Jolteon,Electric,,525,65,65,60,110,95,130,1,False
103,37.22287913745136,126.35132665848967,2010,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False
97,37.777240299197224,127.13760986905002,2010,Hypno,Psychic,,483,85,73,70,73,115,67,1,False
138,36.75993416018092,127.35594927844708,2010,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False
60,37.37766701432513,127.20856357470578,2010,Poliwag,Water,,300,40,50,40,40,40,90,1,False
100,38.24082834729926,127.31826841460436,2010,Voltorb,Electric,,330,40,30,50,55,55,100,1,False
7,36.81362102412829,126.48581063735314,2010,Squirtle,Water,,314,44,48,65,50,64,43,1,False
44,36.3970594894702,126.68684834865847,2010,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False
99,38.10798017012201,127.19765242058962,2010,Kingler,Water,,475,55,130,115,50,50,75,1,False
70,37.232934267981605,126.86170827235017,2010,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False
85,37.57204106574309,126.72021369642907,2010,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
9,37.28741995971897,128.1336624882094,2010,Blastoise,Water,,530,79,83,100,85,105,78,1,False
9,37.28741995971897,128.1336624882094,2010,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False
149,37.34558080538064,126.99563712574074,2010,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False
82,37.98358839068054,127.17766811190464,2010,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False
102,37.566202050434015,127.41986278939957,2010,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
54,36.99657113684349,127.39371385576821,2010,Psyduck,Water,,320,50,52,48,65,50,55,1,False
27,38.276280943701835,126.63915981676054,2010,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False
139,37.7051827224011,127.04112010110298,2010,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False
109,37.29462506539747,126.83917792688223,2010,Koffing,Poison,,340,40,65,95,60,45,35,1,False
87,37.92739682819119,126.95199388683959,2010,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
25,38.0510661305374,126.51178649774793,2010,Pikachu,Electric,,320,35,55,40,50,50,90,1,False
34,36.87833765016272,127.32414537602416,2010,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False
123,37.893846501851016,126.46072215668475,2010,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
86,37.30812303030516,126.8641237327499,2010,Seel,Water,,325,65,45,55,45,70,45,1,False
76,36.85181514059387,127.01873030627111,2010,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
106,38.076404972981074,126.10297020671277,2010,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False
6,37.54481913950407,126.92113671269749,2010,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
6,37.54481913950407,126.92113671269749,2010,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
6,37.54481913950407,126.92113671269749,2010,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
132,38.50095156015389,127.00683827135138,2010,Ditto,Normal,,288,48,48,48,48,48,48,1,False
113,37.908991873409974,126.9260567920289,2010,Chansey,Normal,,450,250,5,5,35,105,50,1,False
5,37.22649088844968,126.98183866686753,2010,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
124,38.01352111272466,126.74884780404314,2010,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
59,37.920802470453154,127.18883576141603,2010,Arcanine,Fire,,555,90,110,80,100,80,95,1,False
13,38.07813877518327,127.20971646541207,2010,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False
45,37.50081346058892,126.53768454389895,2010,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False
16,37.352096084560195,127.86985214492343,2010,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False
76,37.7364422992033,127.27263381382585,2010,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
85,36.92108628791919,127.21427536056184,2010,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
137,36.85125938295085,126.36977325260621,2010,Porygon,Normal,,395,65,60,70,85,75,40,1,False
98,38.4070695578068,126.41844264762378,2010,Krabby,Water,,325,30,105,90,25,25,50,1,False
148,37.865791681052464,126.66015724173018,2010,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False
108,37.8561068119812,126.79362276130713,2010,Lickitung,Normal,,385,90,55,75,60,75,30,1,False
130,37.362950671502986,127.12783375944365,2010,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
130,37.362950671502986,127.12783375944365,2010,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False
80,37.025284855362315,127.71457403886342,2010,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
80,37.025284855362315,127.71457403886342,2010,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False
47,37.47783411455413,126.76058400947872,2010,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False
23,37.83287453252917,126.93179377219654,2010,Ekans,Poison,,288,35,60,44,40,54,55,1,False
77,37.12870072432962,126.93480513385806,2010,Ponyta,Fire,,410,50,85,55,65,65,90,1,False
145,37.81621068239071,126.71415453954525,2010,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
124,37.02197287629957,127.20868717197644,2010,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
50,37.953760096550674,126.6288291753232,2010,Diglett,Ground,,265,10,55,25,35,45,95,1,False
56,37.35195274828324,127.58244073417886,2010,Mankey,Fighting,,305,40,80,35,35,45,70,1,False
11,37.50937007409611,127.24343617744114,2010,Metapod,Bug,,205,50,20,55,25,25,30,1,False
9,37.712489372754256,127.11714517718853,2010,Blastoise,Water,,530,79,83,100,85,105,78,1,False
